STUDY,YEAR,REP,ROTATION,TILLAGE,DEPTH,PLOT,SBD,EC,PH,NO3N,OLSONP,SO4S,CA,MG,K,NA,CEC,ZN,FE,MN,CU,B,TN,TC,SOC,SIC
SQM,2018,3,SWCcc,min,6to12,321,1.43,0.39,6.29,2.4,6.6,5.0,10.72,6.85,0.46,0.08,18.14,1.78,26.97,24.94,3.80,0.51,1.2,11.6,11.6,0.0
SQM,2018,3,SWCcc,min,12to24,321,1.58,0.79,7.71,1.8,5.8,2.4,12.00,7.86,0.37,0.07,20.33,0.90,50.77,12.35,2.86,0.45,0.5,5.8,5.3,0.4
SQM,2018,3,SWCcc,min,24to36,321,1.60,0.36,8.40,1.9,6.6,3.2,19.04,7.88,0.31,0.09,27.28,0.64,23.09,4.58,2.12,0.50,0.3,10.2,5.3,4.9
SQM,2018,3,SWCcc,min,36to48,321,1.74,0.39,8.58,1.4,6.2,5.9,16.85,9.58,0.35,0.18,26.92,1.27,13.65,3.32,3.62,0.45,0.2,10.0,5.3,4.7
SQM,2018,3,SWCcc,min,48to60,321,-9999,0.39,8.66,2.1,6.0,5.8,16.68,9.63,0.36,0.25,26.92,0.80,9.56,2.63,2.19,0.56,0.2,11.3,5.8,5.5
SQM,2018,3,SWCcc,no,0to3,322,1.40,0.18,5.63,6.5,47.6,13.6,7.40,3.44,0.74,0.03,19.44,2.51,79.83,80.91,2.45,0.65,2.2,23.8,23.8,0.0
SQM,2018,3,SWCcc,no,3to6,322,1.58,0.16,6.06,6.6,11.7,7.9,10.32,4.77,0.51,0.04,19.15,2.41,53.45,56.67,4.54,0.61,1.7,17.2,17.2,0.0
SQM,2018,3,SWCcc,no,6to12,322,1.43,0.17,6.60,10.3,5.8,5.3,9.01,5.26,0.35,0.05,14.62,1.18,22.03,24.37,2.49,0.56,1.1,10.8,10.8,0.0
SQM,2018,3,SWCcc,no,12to24,322,1.46,0.37,7.87,45.3,6.2,3.3,10.86,6.94,0.33,0.06,18.20,1.15,21.70,6.62,2.97,0.56,0.5,7.4,6.5,0.8
SQM,2018,3,SWCcc,no,24to36,322,1.61,0.32,8.48,2.0,6.2,5.4,20.31,8.98,0.34,0.10,29.74,0.97,12.29,3.32,3.03,0.55,0.4,15.6,6.4,9.2
SQM,2018,3,SWCcc,no,36to48,322,1.61,0.38,8.64,1.7,6.1,5.8,17.53,11.08,0.36,0.27,29.24,0.54,9.84,2.63,1.81,0.41,0.2,14.1,7.5,6.6
SQM,2018,3,SWCcc,no,48to60,322,1.38,0.39,8.69,2.4,6.3,5.5,13.08,10.56,0.39,0.41,24.44,0.65,8.18,2.24,1.77,0.56,0.2,10.7,6.9,3.9
SQM,2018,3,SWCcc,no,0to3,323,1.43,0.17,5.66,5.7,40.1,15.3,7.27,3.36,0.76,0.04,18.31,3.00,73.53,77.81,3.37,0.60,2.1,24.2,24.2,0.0
SQM,2018,3,SWCcc,no,3to6,323,1.58,0.16,6.11,4.7,10.3,9.9,9.47,4.41,0.53,0.04,17.26,2.40,51.11,50.33,4.26,0.57,1.5,17.1,17.1,0.0
SQM,2018,3,SWCcc,no,6to12,323,1.47,0.16,6.59,4.2,4.1,5.8,8.44,5.32,0.40,0.05,14.17,0.95,17.77,17.28,1.97,0.50,0.7,7.8,7.8,0.0
SQM,2018,3,SWCcc,no,12to24,323,1.57,0.39,7.78,2.2,6.5,5.1,11.44,7.93,0.36,0.07,19.80,0.68,16.30,6.31,2.21,0.52,0.4,5.2,5.0,0.2
SQM,2018,3,SWCcc,no,24to36,323,1.60,0.33,8.59,1.9,6.1,5.1,19.70,8.63,0.31,0.11,28.75,0.61,9.75,2.73,1.85,0.49,0.3,14.2,6.7,7.5
SQM,2018,3,SWCcc,no,36to48,323,1.64,0.34,8.76,2.0,6.8,5.5,17.95,10.38,0.31,0.23,28.88,0.60,10.64,2.83,1.86,0.46,0.2,13.5,5.7,7.8
SQM,2018,3,SWCcc,no,48to60,323,1.41,0.40,8.72,2.3,6.3,4.8,14.50,10.88,0.38,0.44,26.20,0.87,32.73,7.31,2.39,0.55,0.2,9.3,5.0,4.3
SQM,2018,3,SWCcc,min,0to3,324,1.36,0.20,5.57,7.9,51.0,16.5,7.44,3.70,0.77,0.04,19.91,1.81,74.58,96.64,1.36,0.58,1.5,19.0,19.0,0.0
SQM,2018,3,SWCcc,min,3to6,324,1.61,0.19,6.02,7.8,8.1,8.9,8.77,4.39,0.39,0.06,16.96,2.43,45.43,53.52,4.80,0.59,1.1,14.0,14.0,0.0
SQM,2018,3,SWCcc,min,6to12,324,1.50,0.20,6.53,37.6,5.6,6.3,10.07,6.07,0.36,0.06,16.54,1.43,29.48,26.75,3.05,0.57,0.7,9.4,9.4,0.0
SQM,2018,3,SWCcc,min,12to24,324,1.52,0.36,8.15,6.3,5.6,4.7,19.47,8.10,0.35,0.08,27.96,0.81,15.49,4.97,2.27,0.52,0.4,8.6,6.2,2.3
SQM,2018,3,SWCcc,min,24to36,324,1.60,0.36,8.66,5.2,6.2,5.7,17.91,9.27,0.34,0.13,27.63,0.90,9.86,3.22,2.64,0.42,0.2,12.3,5.6,6.7
SQM,2018,3,SWCcc,min,36to48,324,1.64,0.41,8.75,2.5,6.4,6.6,15.66,10.45,0.41,0.30,26.80,0.65,13.06,3.61,2.13,0.50,0.2,10.3,5.4,4.8
SQM,2018,3,SWCcc,min,48to60,324,-9999,0.42,8.66,50.3,6.6,6.6,13.78,10.45,0.42,0.49,25.16,0.83,13.46,4.29,2.37,0.66,0.2,10.1,5.9,4.2
